protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
YP_009103348.1,YP_009103348.1 hypothetical protein AH6C_014 [Aeromonas phage pAh6-C],PF05939,Phage minor tail protein,NC_025459,Aeromonas phage pAh6-C
YP_009103358.1,YP_009103358.1 tail fiber protein [Aeromonas phage pAh6-C],PF03181,BURP domain,NC_025459,Aeromonas phage pAh6-C
YP_009103374.1,YP_009103374.1 hypothetical protein AH6C_040 [Aeromonas phage pAh6-C],PF01893,Uncharacterised protein family UPF0058,NC_025459,Aeromonas phage pAh6-C
YP_009103392.1,YP_009103392.1 hypothetical protein AH6C_058 [Aeromonas phage pAh6-C],PF01481,Arterivirus nucleocapsid protein,NC_025459,Aeromonas phage pAh6-C
YP_009103415.1,YP_009103415.1 hypothetical protein AH6C_081 [Aeromonas phage pAh6-C],PF06174,Protein of unknown function (DUF987),NC_025459,Aeromonas phage pAh6-C
YP_009103843.1,YP_009103843.1 hypothetical protein EfaCPT1_gp26 [Enterococcus phage EfaCPT1],PF11603,Sir1 ORC-binding domain,NC_025465,Enterococcus phage EfaCPT1
YP_009103858.1,YP_009103858.1 hypothetical protein EfaCPT1_gp41 [Enterococcus phage EfaCPT1],PF02081,Tryptophan RNA-binding attenuator protein,NC_025465,Enterococcus phage EfaCPT1
YP_009103864.1,YP_009103864.1 hypothetical protein EfaCPT1_gp47 [Enterococcus phage EfaCPT1],PF06183,DinI-like family,NC_025465,Enterococcus phage EfaCPT1
YP_009103867.1,YP_009103867.1 hypothetical protein EfaCPT1_gp50 [Enterococcus phage EfaCPT1],PF18228,CdiI N-terminal domain,NC_025465,Enterococcus phage EfaCPT1
YP_009103881.1,YP_009103881.1 hypothetical protein EfaCPT1_gp64 [Enterococcus phage EfaCPT1],PF04713,Poxvirus protein I5,NC_025465,Enterococcus phage EfaCPT1
YP_009103977.1,YP_009103977.1 hypothetical protein vB_Efae230P-4.21 [Enterococcus phage vB_Efae230P-4],PF04528,Adenovirus early E4 34 kDa protein conserved region,NC_025467,Enterococcus phage vB_Efae230P-4
YP_009110844.1,YP_009110844.1 Mrh transcription modulator under heat shock [Shigella phage pSs-1],PF08617,Kinase binding protein CGI-121,NC_025829,Shigella phage pSs-1
YP_009110882.1,YP_009110882.1 gp75 [Shigella phage pSs-1],PF04325,Protein of unknown function (DUF465),NC_025829,Shigella phage pSs-1
YP_009110932.1,YP_009110932.1 hypothetical protein pSs1_00124 [Shigella phage pSs-1],PF06786,Uncharacterised protein family (UPF0253),NC_025829,Shigella phage pSs-1
YP_009111111.1,YP_009111111.1 hypothetical protein Av05_0037 [Escherichia phage Av-05],PF03307,Adenovirus 15.3kD protein in E3 region,NC_025830,Escherichia phage Av-05
YP_009111114.1,YP_009111114.1 hypothetical protein Av05_0040 [Escherichia phage Av-05],PF09400,Protein of unknown function (DUF2002),NC_025830,Escherichia phage Av-05
YP_009111122.1,YP_009111122.1 DUF551 domain-containing protein [Escherichia phage Av-05],PF04448,Protein of unknown function (DUF551),NC_025830,Escherichia phage Av-05
YP_009111124.1,YP_009111124.1 hypothetical protein Av05_0050 [Escherichia phage Av-05],PF10729,Cell division activator CedA,NC_025830,Escherichia phage Av-05
YP_009111129.1,YP_009111129.1 hypothetical protein Av05_0055 [Escherichia phage Av-05],PF12283,Bacteriophage protein K,NC_025830,Escherichia phage Av-05
YP_009111191.1,YP_009111191.1 hypothetical protein Av05_00117 [Escherichia phage Av-05],PF03673,Uncharacterised protein family (UPF0128),NC_025830,Escherichia phage Av-05
YP_009111216.1,YP_009111216.1 hypothetical protein Av05_00142 [Escherichia phage Av-05],PF10788,Protein of unknown function (DUF2603),NC_025830,Escherichia phage Av-05
YP_009111220.1,YP_009111220.1 hypothetical protein Av05_00146 [Escherichia phage Av-05],PF03887,YfbU domain,NC_025830,Escherichia phage Av-05
YP_009111233.1,YP_009111233.1 hypothetical protein Av05_00159 [Escherichia phage Av-05],PF10465,PinA peptidase inhibitor,NC_025830,Escherichia phage Av-05
YP_009111245.1,YP_009111245.1 tail protein [Escherichia phage Av-05],PF13957,Toxin YafO type II toxin-antitoxin system,NC_025830,Escherichia phage Av-05
YP_009112958.1,YP_009112958.1 hypothetical protein pSf2_020 [Shigella phage pSf-2],PF02495,Triple gene block 3,NC_026010,Shigella phage pSf-2
YP_009112960.1,YP_009112960.1 tail protein [Shigella phage pSf-2],PF09327,Domain of unknown function (DUF1983),NC_026010,Shigella phage pSf-2
YP_009113070.1,YP_009113070.1 terminase small subunit [Escherichia phage P88],PF05944,Phage small terminase subunit,NC_026014,Escherichia phage P88
YP_009113073.1,YP_009113073.1 holin/anti-holin [Escherichia phage P88],PF06946,Bacteriophage A118-like holin Hol118,NC_026014,Escherichia phage P88
YP_009113089.1,YP_009113089.1 tail protein [Escherichia phage P88],PF08671,Anti-repressor SinI,NC_026014,Escherichia phage P88
YP_009113095.1,YP_009113095.1 MokW-like host killing [Escherichia phage P88],PF13998,MgrB protein,NC_026014,Escherichia phage P88
YP_009113106.1,YP_009113106.1 holin [Staphylococcus phage phiBU01],PF04688,SPP1 phage holin,NC_026016,Staphylococcus phage phiBU01
YP_009113107.1,YP_009113107.1 enterotoxin type A / speL [Staphylococcus phage phiBU01],PF02876,Staphylococcal/Streptococcal toxin beta-grasp domain,NC_026016,Staphylococcus phage phiBU01
YP_009113136.1,YP_009113136.1 AAA family ATPase [Staphylococcus phage phiBU01],PF05707,Zonular occludens toxin (Zot),NC_026016,Staphylococcus phage phiBU01
YP_009113138.1,YP_009113138.1 hypothetical protein SF20_gp37 [Staphylococcus phage phiBU01],PF03374,Phage antirepressor protein KilAC domain,NC_026016,Staphylococcus phage phiBU01
YP_009113155.1,YP_009113155.1 Rz-like spanin [Salmonella phage LSPA1],PF10721,Protein of unknown function (DUF2514),NC_026017,Salmonella phage LSPA1
YP_009113159.1,YP_009113159.1 virion structural protein [Salmonella phage LSPA1],PF11133,Head fiber protein,NC_026017,Salmonella phage LSPA1
YP_009113189.1,YP_009113189.1 DUF551 domain-containing protein [Salmonella phage LSPA1],PF04448,Protein of unknown function (DUF551),NC_026017,Salmonella phage LSPA1
YP_009113213.1,YP_009113213.1 hypothetical protein EpBp4_0025 [Escherichia phage Bp4],PF00161,Ribosome inactivating protein,NC_024142,Escherichia phage Bp4
YP_009113235.1,YP_009113235.1 hypothetical protein EpBp4_0090 [Escherichia phage Bp4],PF16855,Small outer capsid protein,NC_024142,Escherichia phage Bp4
YP_009118704.1,YP_009118704.1 hypothetical protein BN201_0021 [Enterobacteria phage GEC-3S],PF11634,Nuclease inhibitor from bacteriophage T4,NC_025425,Enterobacteria phage GEC-3S
YP_009118733.1,YP_009118733.1 hypothetical protein BN201_0050 [Enterobacteria phage GEC-3S],PF10465,PinA peptidase inhibitor,NC_025425,Enterobacteria phage GEC-3S
YP_009118740.1,YP_009118740.1 hypothetical protein BN201_0057 [Enterobacteria phage GEC-3S],PF02505,Methyl-coenzyme M reductase operon protein D,NC_025425,Enterobacteria phage GEC-3S
YP_009118755.1,YP_009118755.1 hypothetical protein BN201_0072 [Enterobacteria phage GEC-3S],PF17346,Family of unknown function (DUF5376),NC_025425,Enterobacteria phage GEC-3S
YP_009118788.1,YP_009118788.1 hypothetical protein BN201_0105 [Enterobacteria phage GEC-3S],PF05360,yiaA/B two helix domain,NC_025425,Enterobacteria phage GEC-3S
YP_009118790.1,YP_009118790.1 hypothetical protein BN201_0107 [Enterobacteria phage GEC-3S],PF05421,Protein of unknown function (DUF751),NC_025425,Enterobacteria phage GEC-3S
YP_009118792.1,YP_009118792.1 hypothetical protein BN201_0109 [Enterobacteria phage GEC-3S],PF11480,Colicin-E5 Imm protein,NC_025425,Enterobacteria phage GEC-3S
YP_009118795.1,YP_009118795.1 hypothetical protein BN201_0112 [Enterobacteria phage GEC-3S],PF05360,yiaA/B two helix domain,NC_025425,Enterobacteria phage GEC-3S
YP_009118806.1,YP_009118806.1 hypothetical protein BN201_0123 [Enterobacteria phage GEC-3S],PF10966,Protein of unknown function (DUF2768),NC_025425,Enterobacteria phage GEC-3S
YP_009118847.1,YP_009118847.1 hypothetical protein BN201_0164 [Enterobacteria phage GEC-3S],PF11092,Neuronal protein 3.1 (p311),NC_025425,Enterobacteria phage GEC-3S
YP_009118885.1,YP_009118885.1 hypothetical protein BN201_0202 [Enterobacteria phage GEC-3S],PF06154,CbeA_antitoxin type IV cytoskeleton bundling-enhancing factor A,NC_025425,Enterobacteria phage GEC-3S
YP_009118893.1,YP_009118893.1 hypothetical protein BN201_0210 [Enterobacteria phage GEC-3S],PF05854,Non-histone chromosomal protein MC1,NC_025425,Enterobacteria phage GEC-3S
YP_009124232.1,YP_009124232.1 HTH DNA binding protein [Mycobacterium phage Estave1],PF12728,Helix-turn-helix domain,NC_026585,Mycobacterium phage Estave1
YP_009124256.1,YP_009124256.1 hypothetical protein PBI_ESTAVE1_65 [Mycobacterium phage Estave1],PF03206,Nitrogen fixation protein NifW,NC_026585,Mycobacterium phage Estave1
YP_009124404.1,YP_009124404.1 hypothetical protein VC54_gp008 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF04336,Acyl carrier protein phosphodiesterase,NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124405.1,YP_009124405.1 hypothetical protein VC54_gp009 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF03887,YfbU domain,NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124407.1,YP_009124407.1 hypothetical protein VC54_gp011 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF05321,Haemolysin expression modulating protein,NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124491.1,YP_009124491.1 hypothetical protein VC54_gp116 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF06183,DinI-like family,NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124510.1,YP_009124510.1 hypothetical protein VC54_gp097 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF06331,Transcription factor TFIIH complex subunit Tfb5,NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124513.1,YP_009124513.1 hypothetical protein VC54_gp094 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF10891,Protein of unknown function (DUF2719),NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124518.1,YP_009124518.1 thymidylate synthase [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF03887,YfbU domain,NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124523.1,YP_009124523.1 hypothetical protein VC54_gp084 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF17399,Domain of unknown function (DUF5405),NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124525.1,YP_009124525.1 hypothetical protein VC54_gp082 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF02512,Virulence determinant,NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124528.1,YP_009124528.1 hypothetical protein VC54_gp079 [Pseudomonas phage vB_PaeM_PAO1_Ab03],PF09629,YorP protein,NC_026587,Pseudomonas phage vB_PaeM_PAO1_Ab03
YP_009124583.1,YP_009124583.1 DNA helicase [Mycobacterium phage Squirty],PF04326,Schlafen AlbA_2,NC_026588,Mycobacterium phage Squirty
YP_009124594.1,YP_009124594.1 hypothetical protein PBI_SQUIRTY_42 [Mycobacterium phage Squirty],PF13991,BssS protein family,NC_026588,Mycobacterium phage Squirty
YP_009124635.1,YP_009124635.1 hypothetical protein PBI_SQUIRTY_83 [Mycobacterium phage Squirty],PF06794,Uncharacterised protein family (UPF0270),NC_026588,Mycobacterium phage Squirty
YP_009124689.1,YP_009124689.1 hypothetical protein VC60_gp35 [Mycobacterium phage Sbash],PF10774,Domain of unknown function (DUF4226),NC_026589,Mycobacterium phage Sbash
YP_009124728.1,YP_009124728.1 hypothetical protein VC60_gp74 [Mycobacterium phage Sbash],PF11910,Cyanobacterial and plant NDH-1 subunit O,NC_026589,Mycobacterium phage Sbash
YP_009124738.1,YP_009124738.1 hypothetical protein VC60_gp84 [Mycobacterium phage Sbash],PF05363,Herpesvirus US12 family,NC_026589,Mycobacterium phage Sbash
YP_009124739.1,YP_009124739.1 hypothetical protein VC60_gp85 [Mycobacterium phage Sbash],PF10788,Protein of unknown function (DUF2603),NC_026589,Mycobacterium phage Sbash
YP_009124776.1,YP_009124776.1 hypothetical protein VC46_gp033 [Mycobacterium phage Gaia],PF00721,Virus coat protein (TMV like),NC_026590,Mycobacterium phage Gaia
YP_009124796.1,YP_009124796.1 hypothetical protein VC46_gp179 [Mycobacterium phage Gaia],PF04038,Dihydroneopterin aldolase,NC_026590,Mycobacterium phage Gaia
YP_009124803.1,YP_009124803.1 hypothetical protein VC46_gp172 [Mycobacterium phage Gaia],PF06006,Bacterial protein of unknown function (DUF905),NC_026590,Mycobacterium phage Gaia
YP_009124820.1,YP_009124820.1 hypothetical protein VC46_gp155 [Mycobacterium phage Gaia],PF10729,Cell division activator CedA,NC_026590,Mycobacterium phage Gaia
YP_009124829.1,YP_009124829.1 tail fiber protein [Mycobacterium phage Gaia],PF02476,US2 family,NC_026590,Mycobacterium phage Gaia
YP_009124857.1,YP_009124857.1 hypothetical protein VC46_gp118 [Mycobacterium phage Gaia],PF06331,Transcription factor TFIIH complex subunit Tfb5,NC_026590,Mycobacterium phage Gaia
YP_009124870.1,YP_009124870.1 hypothetical protein VC46_gp105 [Mycobacterium phage Gaia],PF07747,MTH865-like family,NC_026590,Mycobacterium phage Gaia
YP_009124905.1,YP_009124905.1 hypothetical protein VC46_gp070 [Mycobacterium phage Gaia],PF05305,Protein of unknown function (DUF732),NC_026590,Mycobacterium phage Gaia
YP_009125047.1,YP_009125047.1 hypothetical protein PBI_BUZZLYSEYEAR_54 [Mycobacterium phage BuzzLyseyear],PF10940,Leader peptide SpeFL,NC_026593,Mycobacterium phage BuzzLyseyear
YP_009125127.1,,,,NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18
YP_009125138.1,,,,NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18
YP_009125154.1,,,,NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18
YP_009125155.1,,,,NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18
YP_009125159.1,,,,NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18
YP_009125166.1,,,,NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18
YP_009125167.1,,,,NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18
YP_009125176.1,,,,NC_026594,Pseudomonas phage vB_PaeS_PAO1_Ab18
YP_009125199.1,YP_009125199.1 minor tail protein [Mycobacterium phage Hades],PF01391,Collagen triple helix repeat (20 copies),NC_026595,Mycobacterium phage Hades
YP_009125219.1,YP_009125219.1 hypothetical protein PBI_HADES_40 [Mycobacterium phage Hades],PF05810,NinF protein,NC_026595,Mycobacterium phage Hades
YP_009125351.1,YP_009125351.1 hypothetical protein VC69_gp070 [Mycobacterium phage Inventum],PF10872,Protein of unknown function (DUF2740),NC_026596,Mycobacterium phage Inventum
YP_009125357.1,YP_009125357.1 hypothetical protein VC69_gp076 [Mycobacterium phage Inventum],PF07126,Cell-division protein ZapC C-terminal,NC_026596,Mycobacterium phage Inventum
YP_009125371.1,YP_009125371.1 hypothetical protein VC69_gp090 [Mycobacterium phage Inventum],PF10872,Protein of unknown function (DUF2740),NC_026596,Mycobacterium phage Inventum
YP_009125413.1,YP_009125413.1 hypothetical protein VC74_gp30 [Mycobacterium phage Sparky],PF05852,Gammaherpesvirus protein of unknown function (DUF848),NC_026597,Mycobacterium phage Sparky
YP_009125425.1,YP_009125425.1 hypothetical protein VC74_gp80 [Mycobacterium phage Sparky],PF08140,Crustacean cuticle protein repeat,NC_026597,Mycobacterium phage Sparky
YP_009125436.1,YP_009125436.1 putative RecT [Mycobacterium phage Sparky],PF03837,RecT family,NC_026597,Mycobacterium phage Sparky
YP_009125441.1,YP_009125441.1 hypothetical protein VC74_gp64 [Mycobacterium phage Sparky],PF11132,Transcriptional regulator protein (SplA),NC_026597,Mycobacterium phage Sparky
YP_009125577.1,YP_009125577.1 hypothetical protein VC51_gp09 [Pseudomonas phage vB_PaeP_C2-10_Ab22],PF17470,Phage gene product 45.2,NC_026599,Pseudomonas phage vB_PaeP_C2-10_Ab22
YP_009125587.1,YP_009125587.1 hypothetical protein VC51_gp19 [Pseudomonas phage vB_PaeP_C2-10_Ab22],PF02477,Nucleocapsid N protein,NC_026599,Pseudomonas phage vB_PaeP_C2-10_Ab22
YP_009125605.1,YP_009125605.1 hypothetical protein VC51_gp37 [Pseudomonas phage vB_PaeP_C2-10_Ab22],PF08951,Enterocin A Immunity,NC_026599,Pseudomonas phage vB_PaeP_C2-10_Ab22
YP_009125618.1,YP_009125618.1 hypothetical protein VC51_gp50 [Pseudomonas phage vB_PaeP_C2-10_Ab22],PF10729,Cell division activator CedA,NC_026599,Pseudomonas phage vB_PaeP_C2-10_Ab22
YP_009125656.1,YP_009125656.1 hypothetical protein VC49_gp17 [Pseudomonas phage vB_PaeS_PAO1_Ab30],PF01402,Ribbon-helix-helix protein copG family,NC_026601,Pseudomonas phage vB_PaeS_PAO1_Ab30
YP_009125658.1,YP_009125658.1 hypothetical protein VC49_gp19 [Pseudomonas phage vB_PaeS_PAO1_Ab30],PF10723,Replication regulatory protein RepB,NC_026601,Pseudomonas phage vB_PaeS_PAO1_Ab30
YP_009125675.1,YP_009125675.1 type I-E anti-CRISPR protein [Pseudomonas phage vB_PaeS_PAO1_Ab30],PF06331,Transcription factor TFIIH complex subunit Tfb5,NC_026601,Pseudomonas phage vB_PaeS_PAO1_Ab30
YP_009125750.1,YP_009125750.1 Rz-like spanin [Pseudomonas phage vB_PaeP_PAO1_Ab05],PF08988,Type III secretion system cytoplasmic E component of needle,NC_026602,Pseudomonas phage vB_PaeP_PAO1_Ab05
YP_009125793.1,YP_009125793.1 hypothetical protein PBI_KESHU_41 [Mycobacterium phage Keshu],PF05839,Apc13p protein,NC_026603,Mycobacterium phage Keshu
YP_009125809.1,YP_009125809.1 hypothetical protein PBI_KESHU_57 [Mycobacterium phage Keshu],PF03206,Nitrogen fixation protein NifW,NC_026603,Mycobacterium phage Keshu
YP_009125834.1,YP_009125834.1 hypothetical protein PBI_KESHU_82 [Mycobacterium phage Keshu],PF11248,Protein of unknown function (DUF3046),NC_026603,Mycobacterium phage Keshu
YP_009125835.1,YP_009125835.1 hypothetical protein PBI_KESHU_83 [Mycobacterium phage Keshu],PF01307,Plant viral movement protein,NC_026603,Mycobacterium phage Keshu
YP_009125840.1,YP_009125840.1 hypothetical protein PBI_KESHU_88 [Mycobacterium phage Keshu],PF03052,Adenoviral protein L1 52/55-kDa,NC_026603,Mycobacterium phage Keshu
YP_009125841.1,YP_009125841.1 hypothetical protein PBI_KESHU_89 [Mycobacterium phage Keshu],PF07126,Cell-division protein ZapC C-terminal,NC_026603,Mycobacterium phage Keshu
YP_009125980.1,YP_009125980.1 hypothetical protein MALITHI_25 [Mycobacterium phage Malithi],PF01788,PsbJ,NC_026605,Mycobacterium phage Malithi
YP_009126014.1,YP_009126014.1 hypothetical protein MALITHI_59 [Mycobacterium phage Malithi],PF12189,Single-strand DNA-binding protein,NC_026605,Mycobacterium phage Malithi
YP_009126070.1,YP_009126070.1 recombinational DNA repair ATPase [Arthrobacter phage vB_ArtM-ArV1],PF13476,,NC_026606,Arthrobacter phage vB_ArtM-ArV1
YP_009126071.1,YP_009126071.1 hypothetical protein ArV1_037 [Arthrobacter phage vB_ArtM-ArV1],PF12728,Helix-turn-helix domain,NC_026606,Arthrobacter phage vB_ArtM-ArV1
YP_009126081.1,YP_009126081.1 hypothetical protein ArV1_047 [Arthrobacter phage vB_ArtM-ArV1],PF10910,Protein of unknown function (DUF2744),NC_026606,Arthrobacter phage vB_ArtM-ArV1
